Block Number,Trial Number,Eye,Position,Detection
1,164,Right,"(303, 55)",1
1,165,Right,"(632, -203)",1
1,166,Right,"(760, 327)",1
1,167,Right,"(32, -211)",1
1,168,Right,"(133, -88)",1
1,169,Right,"(501, 34)",0
1,170,Right,"(625, 334)",1
1,171,Right,"(519, -195)",1
1,172,Right,"(67, 359)",1
1,173,Right,"(285, 7)",1
1,174,Right,"(539, 52)",0
1,175,Right,"(516, 45)",0
1,176,Right,"(649, 185)",1
1,177,Right,"(734, 338)",1
1,178,Right,"(734, -319)",1
1,179,Right,"(567, -202)",1
1,180,Right,"(126, 173)",1
1,181,Right,"(697, -28)",1
1,182,Right,"(750, -148)",1
1,183,Right,"(356, 39)",0
1,184,Right,"(458, 116)",0
1,185,Right,"(99, 178)",1
1,186,Right,"(317, -40)",1
1,187,Right,"(471, 181)",1
1,188,Right,"(51, -19)",1
1,189,Right,"(88, 61)",1
1,190,Right,"(417, -68)",0
1,191,Right,"(79, -103)",1
1,192,Right,"(674, 63)",1
1,193,Right,"(137, -239)",1
1,194,Right,"(60, 295)",1
1,195,Right,"(610, 18)",1
1,196,Right,"(326, 217)",1
1,197,Right,"(643, -91)",1
1,198,Right,"(731, -235)",1
1,199,Right,"(728, -109)",1
1,200,Right,"(244, -311)",1
2,1,Left,"(-585, -315)",1
2,2,Left,"(-381, 192)",1
2,3,Left,"(-459, 311)",1
2,4,Left,"(-460, 193)",1
2,5,Left,"(-399, -198)",1
2,6,Left,"(-589, -197)",1
2,7,Left,"(-128, 158)",1
2,8,Left,"(-150, -356)",1
2,9,Left,"(-543, -21)",0
2,10,Left,"(-350, 239)",1
2,11,Left,"(-761, 2)",1
2,12,Left,"(-202, 65)",1
2,13,Left,"(-91, 313)",1
2,14,Left,"(-582, 284)",1
2,15,Left,"(-565, -346)",1
2,16,Left,"(-43, -14)",1
2,17,Left,"(-459, 15)",0
2,18,Left,"(-493, 286)",1
2,19,Left,"(-209, -263)",1
2,20,Left,"(-740, 243)",1
2,21,Left,"(-437, -312)",1
2,22,Left,"(-214, -323)",1
2,23,Left,"(-451, 198)",1
2,24,Left,"(-160, 309)",1
2,25,Left,"(-393, -349)",1
2,26,Left,"(-104, 160)",1
2,27,Left,"(-492, 85)",0
2,28,Left,"(-162, -174)",1
2,29,Left,"(-631, -140)",1
2,30,Left,"(-708, -85)",1
2,31,Left,"(-2, -280)",1
2,32,Left,"(-732, -343)",1
2,33,Left,"(-248, -96)",1
2,34,Left,"(-642, -197)",1
2,35,Left,"(-252, 338)",1
2,36,Left,"(-445, -117)",1
2,37,Left,"(-396, -9)",0
2,38,Left,"(-431, -106)",1
2,39,Left,"(-411, 328)",1
2,40,Left,"(-427, 144)",1
2,41,Left,"(-353, 227)",1
2,42,Left,"(-456, -263)",1
2,43,Left,"(-60, 358)",1
2,44,Left,"(-277, 349)",1
2,45,Left,"(-392, 5)",0
2,46,Left,"(-638, -9)",1
2,47,Left,"(-526, 242)",1
2,48,Left,"(-613, -285)",1
2,49,Left,"(-352, 103)",1
2,50,Left,"(-669, -238)",1
2,51,Left,"(-3, 98)",1
2,52,Left,"(-159, -80)",1
2,53,Left,"(-102, -240)",1
2,54,Left,"(-182, -234)",1
2,55,Left,"(-601, 84)",1
2,56,Left,"(-40, 53)",1
2,57,Left,"(-647, 335)",1
2,58,Left,"(-368, -48)",0
2,59,Left,"(-661, 239)",1
2,60,Left,"(-179, -323)",1
2,61,Left,"(-508, -203)",1
2,62,Left,"(-159, 164)",1
2,63,Left,"(-184, -298)",1
2,64,Left,"(-329, -322)",1
2,65,Left,"(-190, 329)",1
2,66,Left,"(-531, -260)",1
2,67,Left,"(-555, -241)",1
2,68,Left,"(-636, -128)",1
2,69,Left,"(-538, 218)",1
2,70,Left,"(-188, 316)",1
2,71,Left,"(-270, -6)",1
2,72,Left,"(-140, -300)",1
2,73,Left,"(-561, -232)",1
2,74,Left,"(-673, -87)",1
2,75,Left,"(-263, -153)",1
2,76,Left,"(-246, 267)",1
2,77,Left,"(-267, -103)",1
2,78,Left,"(-334, 183)",1
2,79,Left,"(-694, -23)",1
2,80,Left,"(-456, 146)",1
2,81,Left,"(-381, 224)",1
2,82,Left,"(-654, 248)",1
2,83,Left,"(-332, -147)",1
2,84,Left,"(-650, 10)",1
2,85,Left,"(-759, 269)",1
2,86,Left,"(-347, 336)",1
2,87,Left,"(-182, -40)",1
2,88,Left,"(-640, -209)",1
2,89,Left,"(-697, 4)",1
2,90,Left,"(-498, -265)",1
2,91,Left,"(-485, 75)",1
2,92,Left,"(-126, 152)",1
2,93,Left,"(-402, -77)",0
2,94,Left,"(-667, 79)",1
2,95,Left,"(-446, 66)",0
2,96,Left,"(-666, -355)",1
2,97,Left,"(-382, 51)",0
2,98,Left,"(-408, 352)",1
2,99,Left,"(-452, 185)",1
2,100,Left,"(-227, -76)",1
2,101,Left,"(-606, 135)",1
2,102,Left,"(-77, 353)",1
2,103,Left,"(-482, 119)",1
2,104,Left,"(-220, 198)",1
2,105,Left,"(-49, -261)",1
2,106,Left,"(-604, -161)",1
2,107,Left,"(-762, 304)",1
2,108,Left,"(-670, -176)",1
2,109,Left,"(-341, -350)",1
2,110,Left,"(-196, -50)",1
2,111,Left,"(-550, -24)",0
2,112,Left,"(-291, -204)",1
2,113,Left,"(-297, -321)",1
2,114,Left,"(-583, -320)",1
2,115,Left,"(-180, 246)",1
2,116,Left,"(-750, 321)",1
2,117,Left,"(-218, 157)",1
2,118,Left,"(-536, 310)",1
2,119,Left,"(-389, -249)",1
2,120,Left,"(-632, 153)",1
2,121,Left,"(-643, 96)",1
2,122,Left,"(-496, -11)",0
2,123,Left,"(-668, -217)",1
2,124,Left,"(-581, 57)",1
2,125,Left,"(-152, 86)",1
2,126,Left,"(-148, -63)",1
2,127,Left,"(-412, 241)",1
